,time,name,price,symbol,marketcap,link,image
40,testing,Bitcoin,57741.18,BTC,1087893991419,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
41,testing,Ethereum,3598.55,ETH,424215688254,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
42,testing,Cardano,2.20,ADA,70511487025,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
43,testing,Binance Coin,418.12,BNB,70301248549,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
44,testing,Tether,1.00,USDT,68421505875,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
45,testing,XRP,1.16,XRP,54158829229,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
46,testing,Solana,147.76,SOL,44288396237,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
47,testing,Polkadot,35.07,DOT,34634335522,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
48,testing,USD Coin,0.9999,USDC,33200844945,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
49,testing,Dogecoin,0.2339,DOGE,30796033169,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
50,20211011123846,Bitcoin,57414.08,BTC,1081731106471,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
51,20211011123846,Ethereum,3582.99,ETH,422381650795,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
52,20211011123846,Cardano,2.20,ADA,70401939292,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
53,20211011123846,Binance Coin,417.69,BNB,70229340855,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
54,20211011123846,Tether,1.00,USDT,68434469628,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
55,20211011123846,XRP,1.15,XRP,53819171005,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
56,20211011123846,Solana,146.93,SOL,44039499816,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
57,20211011123846,Polkadot,34.83,DOT,34399115301,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
58,20211011123846,USD Coin,1.00,USDC,33209437301,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
59,20211011123846,Dogecoin,0.2325,DOGE,30607879499,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
